payment_id,order_id,payment_method,payment_status
1,536365,Card,Success
2,536366,Card,Success
3,536367,Card,Success
4,536368,COD,Success
5,536369,UPI,Success
6,536370,Card,Success
7,536371,Card,Failed
8,536372,COD,Success
9,536373,Card,Success
10,536374,UPI,Success
11,536375,UPI,Success
12,536376,UPI,Failed
13,536377,Card,Failed
14,536378,Card,Success
15,536380,UPI,Success
16,536381,Card,Success
17,536382,COD,Success
18,536384,Card,Success
19,536385,UPI,Failed
20,536386,Card,Success
21,536387,UPI,Success
22,536388,COD,Failed
23,536389,UPI,Failed
24,536390,UPI,Success
25,536392,Card,Success
26,536393,UPI,Success
27,536394,COD,Success
28,536395,Card,Failed
29,536396,UPI,Success
30,536397,Card,Success
31,536398,COD,Success
32,536399,COD,Success
33,536400,COD,Success
34,536401,UPI,Success
35,536402,UPI,Success
36,536403,COD,Success
37,536404,UPI,Success
38,536405,Card,Success
39,536406,UPI,Success
40,536407,UPI,Success
41,536408,Card,Failed
42,536409,UPI,Failed
43,536412,Card,Success
44,536415,Card,Success
45,536416,Card,Success
46,536420,UPI,Success
47,536423,COD,Success
48,536425,UPI,Success
49,536437,UPI,Success
50,536446,COD,Success
51,536460,UPI,Success
52,536463,UPI,Success
53,536464,COD,Success
54,536466,UPI,Failed
55,536477,COD,Success
56,536488,UPI,Success
57,536500,UPI,Success
58,536502,Card,Success
59,536508,COD,Success
60,536514,UPI,Success
61,536520,Card,Success
62,536521,Card,Success
63,536522,UPI,Success
64,536523,COD,Success
65,536524,COD,Failed
66,536525,Card,Success
67,536526,Card,Success
68,536527,COD,Success
69,536528,UPI,Success
70,536529,UPI,Success
71,536530,COD,Success
72,536531,Card,Success
73,536532,UPI,Success
74,536533,COD,Success
75,536534,Card,Success
76,536535,UPI,Success
77,536536,Card,Success
78,536537,COD,Success
79,536538,COD,Success
80,536539,COD,Success
81,536540,UPI,Success
82,536541,UPI,Success
83,536542,COD,Success
84,536551,COD,Success
85,536556,UPI,Success
86,536557,UPI,Success
87,536559,COD,Success
88,536560,UPI,Success
89,536561,UPI,Success
90,536562,COD,Success
91,536563,Card,Success
92,536564,Card,Success
93,536566,UPI,Success
94,536567,COD,Success
95,536568,COD,Success
96,536569,UPI,Success
97,536570,Card,Success
98,536571,COD,Success
99,536572,Card,Success
100,536573,Card,Success
101,536574,Card,Success
102,536575,UPI,Success
103,536576,UPI,Success
104,536577,UPI,Success
105,536578,Card,Success
106,536579,UPI,Success
107,536580,UPI,Success
108,536581,COD,Success
109,536582,UPI,Success
110,536583,Card,Success
111,536584,UPI,Success
112,536585,UPI,Success
113,536586,UPI,Success
114,536587,UPI,Success
115,536588,Card,Success
116,536590,UPI,Success
117,536591,COD,Success
118,536591,COD,Success
119,536593,Card,Success
120,536594,UPI,Success
121,536595,UPI,Success
122,536597,UPI,Success
123,536598,Card,Success
124,536599,UPI,Success
125,536600,UPI,Failed
126,536601,COD,Failed
127,536602,COD,Success
128,536603,Card,Failed
129,536604,Card,Success
130,536605,COD,Success
131,536607,COD,Success
132,536608,Card,Success
133,536609,Card,Success
134,536610,Card,Success
135,536611,Card,Success
136,536612,UPI,Success
137,536613,COD,Success
138,536614,Card,Failed
139,536615,COD,Success
140,536616,COD,Success
141,536617,UPI,Success
142,536618,Card,Success
143,536619,Card,Success
144,536620,COD,Success
145,536621,COD,Success
146,536623,Card,Failed
147,536624,COD,Failed
148,536626,Card,Success
149,536627,Card,Success
150,536628,COD,Success
151,536629,COD,Success
152,536630,Card,Success
153,536631,COD,Success
154,536632,UPI,Success
155,536633,UPI,Success
156,536634,UPI,Success
157,536635,COD,Success
158,536636,UPI,Success
159,536637,COD,Success
160,536638,COD,Success
161,536639,COD,Success
162,536641,UPI,Success
163,536643,UPI,Failed
164,536663,COD,Success
165,536667,Card,Success
